"Fecha,""Codigo"",""Concepto"",""Tipo"",""Documento"",""Oficina"",""Monto"",""Saldo"""
"13/05/2019,""001055"",""45663023-CAPREMCI-PT-creditos gye 08"",""D"",""0026080152"",""AG. NORTE"",""2,057.58"",""161,905.27"""
"13/05/2019,""001055"",""45647688-CONECEL        -DP-1.17813912"",""D"",""0021649430"",""CENTRO SERVIC. OPERAT. SS. QTO"",""46.76"",""163,962.85"""
"13/05/2019,""001050"",""COSTO IVA CASH"",""D"",""0021649430"",""CENTRO SERVIC. OPERAT. SS. QTO"",""0.05"",""164,009.61"""
"13/05/2019,""001066"",""COSTO OPER CASH"",""D"",""0021649430"",""CENTRO SERVIC. OPERAT. SS. QTO"",""0.45"",""164,009.66"""
"13/05/2019,""001055"",""IVA CAUSADO SERVICIO"",""D"",""0020378286"",""CENTRO SERVIC. OPERAT. SS. QTO"",""0.28"",""164,010.11"""
"13/05/2019,""001055"",""CONFIRMACION BANCARIA"",""D"",""0020378183"",""CENTRO SERVIC. OPERAT. SS. QTO"",""2.37"",""164,010.39"""
"13/05/2019,""004255"",""PAGO MEER TRF   00000000200005099425"",""D"",""0005643415"",""AG. NORTE"",""12.32"",""164,012.76"""
"13/05/2019,""001794"",""IVA MEER TRF"",""D"",""0005643415"",""AG. NORTE"",""0.04"",""164,025.08"""
"13/05/2019,""001791"",""COM MEER TRF"",""D"",""0005643415"",""AG. NORTE"",""0.31"",""164,025.12"""
"10/05/2019,""001055"",""45618367-REG RECLAMO    -T6-RVIVA"",""D"",""0015600953"",""SERVICIOS CENTRALE(S)"",""3.43"",""164,025.43"""
"10/05/2019,""001055"",""45618367-REG RECLAMO    -T6-RVIVA"",""D"",""0015584269"",""SERVICIOS CENTRALE(S)"",""4.23"",""164,028.86"""
"10/05/2019,""001055"",""45618367-REG RECLAMO    -T6-RVIVA"",""D"",""0015546865"",""SERVICIOS CENTRALE(S)"",""1.02"",""164,033.09"""
"10/05/2019,""001055"",""45618367-REG RECLAMO    -T6-RVIVA"",""D"",""0015539710"",""SERVICIOS CENTRALE(S)"",""0.70"",""164,034.11"""
"10/05/2019,""001055"",""45618367-REG RECLAMO    -T6-RVIVA"",""D"",""0015537717"",""SERVICIOS CENTRALE(S)"",""0.64"",""164,034.81"""
"10/05/2019,""001055"",""45618367-REG RECLAMO    -T6-RVIVA"",""D"",""0015530815"",""SERVICIOS CENTRALE(S)"",""0.54"",""164,035.45"""
"10/05/2019,""001055"",""45618367-REG RECLAMO    -T6-RVIVA"",""D"",""0015505162"",""SERVICIOS CENTRALE(S)"",""0.27"",""164,035.99"""
"10/05/2019,""001055"",""45618367-REG RECLAMO    -T6-RVIVA"",""D"",""0014807280"",""SERVICIOS CENTRALE(S)"",""0.04"",""164,036.26"""
"10/05/2019,""001055"",""45618367-REG RECLAMO    -T6-RVIVA"",""D"",""0014807123"",""SERVICIOS CENTRALE(S)"",""0.04"",""164,036.30"""
"09/05/2019,""001010"",""DEPOSITO"",""C"",""0011592824"",""6 DE DICIEMBRE"",""1.11"",""164,036.34"""
"08/05/2019,""001055"",""45506762-COSTO IVA  CASH-PT-179170037600"",""D"",""0000081458"",""SERVICIOS CENTRALE(S)"",""0.04"",""164,035.23"""
"08/05/2019,""001055"",""45506762-COSTO OPER CASH-PT-179170037600"",""D"",""0000081452"",""SERVICIOS CENTRALE(S)"",""0.36"",""164,035.27"""
"08/05/2019,""001055"",""45506728-COSTO IVA  CASH-PT-179170037600"",""D"",""0000081446"",""SERVICIOS CENTRALE(S)"",""0.34"",""164,035.63"""
"08/05/2019,""001055"",""45506728-COSTO OPER CASH-PT-179170037600"",""D"",""0000081439"",""SERVICIOS CENTRALE(S)"",""2.86"",""164,035.97"""
"08/05/2019,""001055"",""45504877-COSTO IVA  CASH-PT-179170037600"",""D"",""0000081424"",""SERVICIOS CENTRALE(S)"",""0.13"",""164,038.83"""
"08/05/2019,""001055"",""45504877-COSTO OPER CASH-PT-179170037600"",""D"",""0000081415"",""SERVICIOS CENTRALE(S)"",""1.07"",""164,038.96"""
"07/05/2019,""001055"",""45506762-CAPREMCI-PT-rendimientos 06"",""D"",""0018041178"",""AG. NORTE"",""934.30"",""164,040.03"""
"07/05/2019,""001055"",""45506728-CAPREMCI-PT-rendimientos 02"",""D"",""0018041031"",""AG. NORTE"",""2,877.59"",""164,974.33"""
"07/05/2019,""001055"",""45504877-CAPREMCI-PT-VIATICOS SUBSIS"",""D"",""0018040941"",""AG. NORTE"",""738.75"",""167,851.92"""
"07/05/2019,""001055"",""45431937-COSTO IVA  CASH-PT-179170037600"",""D"",""0000233482"",""SERVICIOS CENTRALE(S)"",""0.04"",""168,590.67"""
"07/05/2019,""001055"",""45431937-COSTO OPER CASH-PT-179170037600"",""D"",""0000233477"",""SERVICIOS CENTRALE(S)"",""0.36"",""168,590.71"""
"07/05/2019,""001055"",""45454862-COSTO IVA  CASH-PT-179170037600"",""D"",""0000233473"",""SERVICIOS CENTRALE(S)"",""0.04"",""168,591.07"""
"07/05/2019,""001055"",""45454862-COSTO OPER CASH-PT-179170037600"",""D"",""0000233469"",""SERVICIOS CENTRALE(S)"",""0.36"",""168,591.11"""
"07/05/2019,""001055"",""45432088-COSTO IVA  CASH-PT-179170037600"",""D"",""0000233459"",""SERVICIOS CENTRALE(S)"",""0.04"",""168,591.47"""
"07/05/2019,""001055"",""45432088-COSTO OPER CASH-PT-179170037600"",""D"",""0000233449"",""SERVICIOS CENTRALE(S)"",""0.36"",""168,591.51"""
"07/05/2019,""001055"",""45268576-COSTO IVA  CASH-CB-179170037600"",""D"",""0000233426"",""SERVICIOS CENTRALE(S)"",""0.05"",""168,591.87"""
"07/05/2019,""001055"",""45268576-COSTO OPER CASH-CB-179170037600"",""D"",""0000233406"",""SERVICIOS CENTRALE(S)"",""0.45"",""168,591.92"""
"07/05/2019,""001055"",""45268576-COSTO IVA  CASH-CB-179170037600"",""D"",""0000233386"",""SERVICIOS CENTRALE(S)"",""5.84"",""168,592.37"""
"07/05/2019,""001055"",""45268576-COSTO OPER CASH-CB-179170037600"",""D"",""0000233370"",""SERVICIOS CENTRALE(S)"",""48.66"",""168,598.21"""
"07/05/2019,""001055"",""45226407-COSTO IVA  CASH-CB-179170037600"",""D"",""0000233355"",""SERVICIOS CENTRALE(S)"",""0.05"",""168,646.87"""
"07/05/2019,""001055"",""45226407-COSTO OPER CASH-CB-179170037600"",""D"",""0000233343"",""SERVICIOS CENTRALE(S)"",""0.45"",""168,646.92"""
"07/05/2019,""001055"",""45226289-COSTO IVA  CASH-CB-179170037600"",""D"",""0000233327"",""SERVICIOS CENTRALE(S)"",""0.05"",""168,647.37"""
"07/05/2019,""001055"",""45226289-COSTO OPER CASH-CB-179170037600"",""D"",""0000233314"",""SERVICIOS CENTRALE(S)"",""0.45"",""168,647.42"""
"07/05/2019,""001055"",""45226289-COSTO IVA  CASH-CB-179170037600"",""D"",""0000233298"",""SERVICIOS CENTRALE(S)"",""0.54"",""168,647.87"""
"07/05/2019,""001055"",""45226289-COSTO OPER CASH-CB-179170037600"",""D"",""0000233285"",""SERVICIOS CENTRALE(S)"",""4.46"",""168,648.41"""
